,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,sku,product, Quantity ,,,,,,,
,,20138,ENDOTRACHEAL ORAL UNCUFFED 4.0MM, 500 ,,,,,,,
,,20139,ENDOTRACHEAL ORAL UNCUFFED 3.5MM, 300 ,,,,,,,
,,20140,ENDOTRACHEAL ORAL UNCUFFED 2.5MM, 400 ,,,,,,,
,,20141,ENDOTRACHEAL ORAL UNCUFFED 2.0MM, 300 ,,,,,,,
,,20142,ENDOTRACHEAL TUBE UNCUFFED 10MM, 300 ,,,,,,,
,,20143,ENDOTRACHEAL TUBE UNCUFFED 9.5MM, 500 ,,,,,,,
,,20144,ENDOTRACHEAL TUBE UNCUFFED 9.0MM, 500 ,,,,,,,
,,20145,ENDOTRACHEAL TUBE UNCUFFED 8.5MM, 500 ,,,,,,,
,,20146,ENDOTRACHEAL TUBE UNCUFFED 8.0MM, 500 ,,,,,,,
,,20147,ENDOTRACHEAL TUBE UNCUFFED 7.5MM, 500 ,,,,,,,
,,20148,ENDOTRACHEAL TUBE UNCUFFED 7.0MM , 400 ,,,,,,,
,,20149,ENDOTRACHEAL TUBE UNCUFFED 6.5MM, 500 ,,,,,,,
,,20150,ENDOTRACHEAL TUBE UNCUFFED 6.0MM, 500 ,,,,,,,
,,20151,ENDOTRACHEAL TUBE UNCUFFED 5.5MM, 500 ,,,,,,,
,,20152,ENDOTRACHEAL TUBE UNCUFFED 5.0MM, 300 ,,,,,,,
,,20153,ENDOTRACHEAL TUBE UNCUFFED 4.5MM, 500 ,,,,,,,
,,20154,ENDOTRACHEAL TUBE UNCUFFED 4.0MM, 500 ,,,,,,,
,,20155,ENDOTRACHEAL TUBE UNCUFFED 3.5MM, 300 ,,,,,,,
,,20156,ENDOTRACHEAL TUBE UNCUFFED 3.0MM, 400 ,,,,,,,
,,20157,ENDOTRACHEAL TUBE UNCUFFED 2.5MM, 500 ,,,,,,,
,,20158,ENDOTRACHEAL TUBE UNCUFFED 2.0MM, 500 ,,,,,,,
,,20159,ENDOTRACHEAL TUBE CUFFED 10MM, 500 ,,,,,,,
,,20160,ENDOTRACHEAL TUBE CUFFED 9.5MM, 500 ,,,,,,,
,,20161,ENDOTRACHEAL TUBE CUFFED 9.0MM, 300 ,,,,,,,
,,20162,ENDOTRACHEAL TUBE CUFFED 8.5MM, 260 ,,,,,,,
,,20163,ENDOTRACHEAL TUBE CUFFED 8.0MM, 460 ,,,,,,,
,,20164,ENDOTRACHEAL TUBE CUFFED 7.5MM, 260 ,,,,,,,
,,20165,ENDOTRACHEAL TUBE CUFFED 7.0MM, 160 ,,,,,,,
,,20166,ENDOTRACHEAL TUBE  CUFFED 6.5MM, 460 ,,,,,,,
,,20167,ENDOTRACHEAL TUBE CUFFED 6.0MM, 460 ,,,,,,,
,,20168,ENDOTRACHEAL TUBE CUFFED 5.5MM, 500 ,,,,,,,
,,20169,ENDOTRACHEAL TUBE CUFFED 5.0MM, 500 ,,,,,,,
,,20170,ENDOTRACHEAL TUBE CUFFED 4.5MM, 500 ,,,,,,,
,,20171,ENDOTRACHEAL TUBE CUFFED 4.0MM, 500 ,,,,,,,
,,20172,ENDOTRACHEAL TUBE CUFFED 3.5MM, 500 ,,,,,,,
,,20173,ENDOTRACHEAL TUBE CUFFED 3.0MM, 500 ,,,,,,,
,,20174,TEGADERM TRANSPARENT 6CM*7CM," 14,900 ",,,,,,,
,,20175,TEGADERM FILM 10CM*12CM," 7,050 ",,,,,,,
,,20176,TEGADERM PAD 9CM*20CM," 4,700 ",,,,,,,
,,20177,TEGADERM PAD 9CM*15CM," 2,157 ",,,,,,,
,,20178,MAVERICK MONORAIL DILATATION 3.0*12MM, 6 ,,,,,,,
,,20179,MAVERICK MONORAIL DILATATION 3.0*20MM, 10 ,,,,,,,
,,20180,MAVERICK MONORAIL DILATATION 2.5*15MM, 5 ,,,,,,,
,,20181,MAVERICK MONORAIL DILATATION 3.0*15MM, 9 ,,,,,,,
,,20182,MAVERICK MONORAIL DILATATION 3.5*15MM, 6 ,,,,,,,
,,20183,MAVERICK MONORAIL DILATATION 2.5*12MM, 4 ,,,,,,,
,,20184,MAVERICK MONORAIL DILATATION 1.5*15MM, 5 ,,,,,,,
,,20185,MAVERICK MONORAIL DILATATION 3.5*12MM, 4 ,,,,,,,
,,20186,GORE TEX CARDIVASCULAR PATCH 3.0*6.0*0.4MM, 80 ,,,,,,,
,,20187,MINI TREK CORONARY DILATATION 1.50*15, 5 ,,,,,,,
,,20188,MINI TREK CORONARY DILATATION 1.50*12, 10 ,,,,,,,
,,20189,MINI TREK CORONARY DILATATION 1.20*20, 10 ,,,,,,,
,,20190,MINI TREK CORONARY DILATATION 1.20*12, 5 ,,,,,,,
,,20191,MINI TREK CORONARY DILATATION 1.20*15, 10 ,,,,,,,
,,20192,NC TREK CORONARY DILATATION 3.0*15, 5 ,,,,,,,
,,20193,NC TREK CORONARY DILATATION 3.50*15, 10 ,,,,,,,
,,20194,NC TREK CORONARY DILATATION 4.0*12, 5 ,,,,,,,
